,Food ID,Food Name,"Energy, with dietary fibre (kJ)",Protein (g),Added sugars (g),protein_ratio,addedsugar_ratio,protein_star,addedsugar_star,aver_star
0,1,"Beef, extract, bonox",401,16.6,0.0,0.04139650872817956,0.0,7,10,8.5
1,2,"Basil, dried",1079,18.2,0.0,0.016867469879518072,0.0,3,10,6.5
2,3,"Cardamom, seeds, ground",1333,10.8,0.0,0.008102025506376594,0.0,2,10,6.0
3,4,Chilli (chili) powder,1441,12.3,0.0,0.008535739070090215,0.0,2,10,6.0
4,5,"Chilli (chili), dried, ground",1573,14.1,0.0,0.008963763509218054,0.0,2,10,6.0
5,6,"Cinnamon, dried, ground",1026,4.2,0.0,0.004093567251461989,0.0,1,10,5.5
6,7,"Cloves, dried, ground",1536,6.0,0.0,0.00390625,0.0,1,10,5.5
7,8,"Coriander seed, dried, ground",1476,13.0,0.0,0.008807588075880758,0.0,2,10,6.0
8,9,"Cumin (cummin) seed, dried, ground",1915,18.4,0.0,0.009608355091383811,0.0,2,10,6.0
9,10,Curry powder,1459,12.7,0.0,0.00870459218642906,0.0,2,10,6.0
10,11,Fenugreek seed,1375,23.0,0.0,0.016727272727272726,0.0,3,10,6.5
11,12,"Ginger, dried, ground",1418,8.5,0.0,0.005994358251057828,0.0,1,10,5.5
12,13,"Herbs, mixed, dried",1210,11.1,0.0,0.009173553719008264,0.0,2,10,6.0
13,14,Mustard powder,2289,29.4,0.0,0.012844036697247705,0.0,3,10,6.5
14,15,"Nutmeg, dried, ground",2119,6.4,0.0,0.003020292590844738,0.0,1,10,5.5
15,16,"Oregano or marjoram, dried",1096,9.0,0.0,0.008211678832116789,0.0,2,10,6.0
16,17,"Paprika, dry powder",1311,14.1,0.0,0.010755148741418764,0.0,2,10,6.0
17,18,"Pepper, ground, black or white",1208,10.7,0.0,0.008857615894039734,0.0,2,10,6.0
18,19,"Rosemary, dried",1405,9.5,0.0,0.006761565836298933,0.0,2,10,6.0
19,20,"Sage, dried",1320,10.6,0.0,0.00803030303030303,0.0,2,10,6.0
20,21,"Salt substitute, potassium chloride",0,0.0,0.0,,,10,1,5.5
21,22,"Salt, cooking",0,0.0,0.0,,,10,1,5.5
22,23,"Salt, flavoured",0,0.0,0.0,,,10,1,5.5
23,24,"Salt, rock",0,0.0,0.0,,,10,1,5.5
24,25,"Salt, sea",0,0.0,0.0,,,10,1,5.5
25,26,"Salt, table, iodised",0,0.0,0.0,,,10,1,5.5
26,27,"Salt, table, non-iodised",0,0.0,0.0,,,10,1,5.5
27,28,"Salt, not further defined",0,0.0,0.0,,,10,1,5.5
28,29,"Seasoning mix, chilli-based, for tacos",1010,5.9,11.2,0.005841584158415842,0.011089108910891089,1,9,5.0
29,30,"Spice, mixed or all spice",1560,5.5,0.0,0.0035256410256410257,0.0,1,10,5.5
30,31,"Stock, dry powder or cube",900,11.3,2.8,0.012555555555555556,0.003111111111111111,3,10,6.5
31,32,"Stock, liquid, all flavours (except fish), prepared from commercial powder or cube",18,0.2,0.1,0.011111111111111112,0.005555555555555556,2,10,6.0
32,33,"Stock, liquid, all flavours (except fish), homemade from basic ingredients",68,2.3,0.0,0.033823529411764704,0.0,6,10,8.0
33,34,"Stock, liquid, fish, commercial",27,0.7,0.4,0.025925925925925925,0.014814814814814815,5,8,6.5
34,35,"Stock, liquid, fish, homemade from basic ingredients",68,2.3,0.0,0.033823529411764704,0.0,6,10,8.0
35,36,"Stock, dry powder or cube, reduced salt",900,11.3,1.9,0.012555555555555556,0.002111111111111111,3,10,6.5
36,37,"Stock, liquid, all flavours, reduced salt, prepared from commercial powder or cube",18,0.2,0.0,0.011111111111111112,0.0,2,10,6.0
37,38,"Thyme, dried, ground",1149,8.1,0.0,0.007049608355091383,0.0,2,10,6.0
38,39,"Turmeric, dried, ground",1380,7.7,0.0,0.005579710144927536,0.0,1,10,5.5
39,40,"Baking powder, dry powder",360,0.0,0.0,0.0,0.0,1,10,5.5
40,41,"Baking soda (bicarbonate), dry powder",0,0.0,0.0,,,10,1,5.5
41,42,"Cream of tartar, dry powder",0,0.0,0.0,,,10,1,5.5
42,43,"Gelatine, all types",1449,84.4,0.0,0.05824706694271912,0.0,10,10,10.0
43,44,"Lecithin, soy, granules",2620,6.0,0.0,0.0022900763358778627,0.0,1,10,5.5
44,45,"Vanilla, artificial",231,0.0,0.0,0.0,0.0,1,10,5.5
45,46,"Yeast, bakers, compressed",454,13.6,0.0,0.029955947136563875,0.0,5,10,7.5
46,47,"Yeast, dry powder",1068,36.4,0.0,0.03408239700374532,0.0,6,10,8.0
47,48,Caffeine,0,0.0,0.0,,,10,1,5.5
48,49,Calcium,0,0.0,0.0,,,10,1,5.5
49,50,Fibre,800,0.0,0.0,0.0,0.0,1,10,5.5
50,51,Folic acid,0,0.0,0.0,,,10,1,5.5
51,52,Iodine,0,0.0,0.0,,,10,1,5.5
52,53,Maltodextrin,1700,0.0,0.0,0.0,0.0,1,10,5.5
53,54,Oligosaccharide,1700,0.0,0.0,0.0,0.0,1,10,5.5
54,55,Thiamin,0,0.0,0.0,,,10,1,5.5
55,56,Beta-carotene,0,0.0,0.0,,,10,1,5.5
56,57,Vitamin C,0,0.0,0.0,,,10,1,5.5
57,58,Vitamin E,0,0.0,0.0,,,10,1,5.5
58,59,"Beer, lager or ale style (alcohol 5% v/v & above)",151,0.4,0.0,0.0026490066225165563,0.0,1,10,5.5
59,60,"Beer, lager or ale style (alcohol 4.6% v/v)",143,0.3,0.0,0.002097902097902098,0.0,1,10,5.5
60,61,"Beer, lager or ale style, mid strength (alcohol 3.5% v/v)",120,0.3,0.0,0.0025,0.0,1,10,5.5
